state,year,term,start,end
NSW,1978,1,1978-02-01,1978-05-05
Vic,1978,1,1978-02-06,1978-05-12
Qld,1978,1,1978-01-23,1978-04-28
SA,1978,1,1978-02-06,1978-05-12
WA,1978,1,1978-02-06,1978-05-12
Tas,1978,1,1978-02-21,1978-05-26
NT,1978,1,1978-02-06,1978-05-12
ACT,1978,1,1978-02-01,1978-05-05
NSW,1978,2,1978-05-22,1978-08-25
Vic,1978,2,1978-05-29,1978-08-25
Qld,1978,2,1978-05-15,1978-08-11
SA,1978,2,1978-05-29,1978-08-25
WA,1978,2,1978-05-29,1978-08-25
Tas,1978,2,1978-06-12,1978-08-25
NT,1978,2,1978-05-29,1978-08-25
ACT,1978,2,1978-05-22,1978-08-25
NSW,1978,3,1978-09-11,1978-12-14
Vic,1978,3,1978-09-11,1978-12-19
Qld,1978,3,1978-08-28,1978-12-15
SA,1978,3,1978-09-11,1978-12-15
WA,1978,3,1978-09-11,1978-12-15
Tas,1978,3,1978-09-11,1978-12-20
NT,1978,3,1978-09-11,1978-12-08
ACT,1978,3,1978-09-11,1978-12-15
NSW,1979,1,1979-01-31,1979-05-04
Vic,1979,1,1979-02-05,1979-05-11
Qld,1979,1,1979-01-30,1979-05-04
SA,1979,1,1979-02-05,1979-05-11
WA,1979,1,1979-02-05,1979-05-11
Tas,1979,1,1979-02-20,1979-05-25
NT,1979,1,1979-02-05,1979-05-11
ACT,1979,1,1979-01-31,1979-05-04
NSW,1979,2,1979-05-21,1979-08-24
Vic,1979,2,1979-05-28,1979-08-24
Qld,1979,2,1979-05-21,1979-08-10
SA,1979,2,1979-05-28,1979-08-24
WA,1979,2,1979-05-28,1979-08-24
Tas,1979,2,1979-06-11,1979-08-31
NT,1979,2,1979-05-28,1979-08-24
ACT,1979,2,1979-05-21,1979-07-12
NSW,1979,3,1979-09-10,1979-12-13
Vic,1979,3,1979-09-10,1979-12-20
Qld,1979,3,1979-08-27,1979-12-14
SA,1979,3,1979-09-10,1979-12-14
WA,1979,3,1979-09-10,1979-12-22
Tas,1979,3,1979-09-17,1979-12-20
NT,1979,3,1979-09-10,1979-12-07
ACT,1979,3,1979-07-17,1979-08-24
NSW,1980,1,1980-01-30,1980-05-02
Vic,1980,1,1980-02-05,1980-05-09
Qld,1980,1,1980-01-29,1980-05-02
SA,1980,1,1980-02-11,1980-05-16
WA,1980,1,1980-02-11,1980-05-09
Tas,1980,1,1980-02-19,1980-05-30
NT,1980,1,1980-02-04,1980-05-09
ACT,1980,1,1980-01-30,1980-05-02
NSW,1980,2,1980-05-19,1980-08-22
Vic,1980,2,1980-05-26,1980-08-22
Qld,1980,2,1980-05-19,1980-08-08
SA,1980,2,1980-06-02,1980-08-29
WA,1980,2,1980-05-26,1980-08-22
